entry_time,exit_time,direction,entry,sl,target,exit_price,pnl_pts,pnl_rs,result
2026-06-09 12:10:00+05:30,2026-06-09 14:35:00+05:30,LONG,23233.5,23211.0,23278.5,23278.5,45.0,2925.0,TARGET
2026-06-10 10:20:00+05:30,2026-06-10 10:35:00+05:30,SHORT,23342.0,23388.0,23250.0,23388.0,-46.0,-2990.0,SL
2026-06-10 13:55:00+05:30,2026-06-10 14:40:00+05:30,SHORT,23366.0,23407.7,23282.6,23282.6,83.4,5421.0,TARGET
2026-06-11 09:45:00+05:30,2026-06-11 11:25:00+05:30,LONG,23159.0,23111.1,23254.8,23254.8,95.8,6227.0,TARGET
2026-06-11 14:50:00+05:30,2026-06-11 15:20:00+05:30,SHORT,23215.0,23247.8,23149.4,23213.0,2.0,130.0,EOD_CLOSE
2026-06-12 13:35:00+05:30,2026-06-12 14:25:00+05:30,LONG,23440.8,23360.0,23602.4,23602.4,161.6,10504.0,TARGET
2026-06-15 09:50:00+05:30,2026-06-15 09:55:00+05:30,LONG,23970.0,23938.7,24032.6,23938.7,-31.3,-2034.5,SL
2026-06-15 10:10:00+05:30,2026-06-15 10:25:00+05:30,SHORT,23938.4,23959.9,23895.4,23959.9,-21.5,-1397.5,SL
2026-06-15 12:15:00+05:30,2026-06-15 13:10:00+05:30,SHORT,23954.4,23979.4,23904.4,23979.4,-25.0,-1625.0,SL
2026-06-15 14:40:00+05:30,2026-06-15 14:50:00+05:30,LONG,23977.2,23947.4,24036.8,23947.4,-29.8,-1937.0,SL
2026-06-15 15:00:00+05:30,2026-06-15 15:20:00+05:30,SHORT,23925.0,23965.6,23843.8,23933.2,-8.2,-533.0,EOD_CLOSE
2026-06-16 09:30:00+05:30,2026-06-16 10:05:00+05:30,LONG,23970.0,23930.3,24049.4,23930.3,-39.7,-2580.5,SL
2026-06-16 10:35:00+05:30,2026-06-16 11:15:00+05:30,LONG,23974.5,23946.0,24031.5,23946.0,-28.5,-1852.5,SL
2026-06-16 13:15:00+05:30,2026-06-16 14:10:00+05:30,LONG,23960.0,23937.0,24006.0,24006.0,46.0,2990.0,TARGET
2026-06-17 09:25:00+05:30,2026-06-17 09:30:00+05:30,SHORT,24000.0,24044.5,23911.0,24044.5,-44.5,-2892.5,SL
2026-06-17 12:50:00+05:30,2026-06-17 12:55:00+05:30,LONG,24061.0,24041.0,24101.0,24041.0,-20.0,-1300.0,SL
2026-06-17 14:50:00+05:30,2026-06-17 14:50:00+05:30,LONG,24060.0,24050.2,24079.6,24050.2,-9.8,-637.0,SL
